,Ejected,M1,M2,Name1,Name2,NameCM,P,Semi,Simulation,Type1,Type2,TypeCM,X,Y,Z,e
104,False,59.5233841,43.2770195,4725,4727,12357,226603.766,340.760712,M7626,14,14,-1,0.0241024625,-0.285130918,-0.0560473911,0.581526577
657,False,56.35140229999999,124.522461,4845,4849,16978,1018275.31,1120.2336400000002,M7636,14,14,0,-0.27506268,0.0119565418,0.468137056,0.9790720340000001
1482,False,50.1535492,36.6927795,4843,4844,16976,3394.78296,19.5763493,M7636,14,14,0,12.1956778,-4.40147877,-5.94916916,0.6238596439999999
1703,True,10.2915916,7.58480263,4565.0,4566.0,16021.0,1.12642348,0.055398874,M7668,14.0,14.0,10.0,55.6880341,8.07255936,0.438910246,0.00100000005
1682,True,11.654941599999999,18.316701899999998,4555.0,4556.0,16011.0,29980.3828,58.66802979999999,M7668,14.0,14.0,0.0,51.4532967,12.1828737,8.54793072,0.774557233
1532,False,46.15304570000001,85.4616089,4569.0,4572.0,16025.0,15491.7793,61.864589699999996,M7668,14.0,14.0,0.0,5.02404594,46.5719872,0.0243823119,0.8553424479999999
100,False,44.0379677,39.808445,4605,4593,11893,95502.6875,178.969238,M7680,14,14,-1,-0.309079617,0.236135095,0.000783074996,0.681827843
643,False,39.6249352,35.2117729,4617,4583,12391,41019292.0,9809.27344,M7680,14,14,-1,0.0297086351,0.22241263100000003,0.738753557,0.541537881
95,False,53.22101970000001,73.47494509999999,4575,4577,11881,188386.688,323.018646,M7706,14,14,-1,0.103373095,-0.28305757,0.290197909,0.55409956
1776,True,31.281457899999996,11.1673546,4569.0,4570.0,16012.0,1.64955199,0.0953101218,M7906,14.0,14.0,10.0,53.3008118,14.6166973,-16.6534939,0.00100000005
21,False,63.290527299999994,57.7370186,4561.0,4559.0,11376.0,152994.094,276.917908,M7906,14.0,14.0,-1.0,0.919131815,-0.0261116493,-0.314289838,0.903371692
513,True,30.819007899999995,13.3813829,5023.0,5024.0,13826.0,2133256.75,1146.68457,M8200,14.0,14.0,-1.0,39.148509999999995,4.00547171,39.2665558,0.5355869529999999
560,True,82.7559433,56.4521103,5029.0,5033.0,17634.0,4701.05176,28.463697399999997,M8200,14.0,14.0,0.0,5.21263695,3.8732307,23.010437,0.903280199
